benchmark_count,budget_epochs_per_candidate,budget_evaluation_count,budget_generations,budget_policy_name,budget_population_size,budget_wall_clock_seconds,created_at,fairness_benchmark_pack_id,fairness_budget_policy_name,fairness_code_version,fairness_data_signature,fairness_evaluation_count,fairness_seed,pack_name,run_id,run_name,seed,source_manifest_relpath,source_results_relpath,source_run_key,system,version,workspace_relpath
38,1,76,1,,2,,2026-04-16T13:49:01.170584Z,,,,,,,working_33_plus_5_lm_compare,prism_smoke_33_plus_5_lm,prism_smoke_33_plus_5_lm,42,EvoNN-Compare/manual_compare_runs/20260416_smoke_33plus5/normalized/prism_smoke_33_plus_5_lm/manifest.json,EvoNN-Compare/manual_compare_runs/20260416_smoke_33plus5/normalized/prism_smoke_33_plus_5_lm/results.json,prism|prism_smoke_33_plus_5_lm|2026-04-16T13:49:01.170584Z|EvoNN-Compare/manual_compare_runs/20260416_smoke_33plus5/normalized/prism_smoke_33_plus_5_lm/manifest.json,prism,,EvoNN-Compare/manual_compare_runs/20260416_smoke_33plus5/normalized/prism_smoke_33_plus_5_lm
38,1,38,1,,1,,2026-04-16T13:49:01.170584Z,,,,,,,working_33_plus_5_lm_compare,topograph_smoke_33plus5,topograph_smoke_33plus5,42,EvoNN-Compare/manual_compare_runs/20260416_smoke_33plus5/normalized/topograph_smoke_33plus5/manifest.json,EvoNN-Compare/manual_compare_runs/20260416_smoke_33plus5/normalized/topograph_smoke_33plus5/results.json,topograph|topograph_smoke_33plus5|2026-04-16T13:49:01.170584Z|EvoNN-Compare/manual_compare_runs/20260416_smoke_33plus5/normalized/topograph_smoke_33plus5/manifest.json,topograph,,EvoNN-Compare/manual_compare_runs/20260416_smoke_33plus5/normalized/topograph_smoke_33plus5
38,1,76,1,prototype_equal_budget,2,,2026-04-18T12:01:29.586727Z,working_33_plus_5_lm_compare_eval76,prototype_equal_budget,355f598b7304e9653013d2d5e2adde4996061fa3,956b83c8b6f6bc57,76,42,working_33_plus_5_lm_compare_eval76,working_33_plus_5_lm_compare_eval76_seed42,working_33_plus_5_lm_compare_eval76_seed42,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/runs/prism/working_33_plus_5_lm_compare_eval76_seed42/manifest.json,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/runs/prism/working_33_plus_5_lm_compare_eval76_seed42/results.json,prism|working_33_plus_5_lm_compare_eval76_seed42|2026-04-18T12:01:29.586727Z|EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/runs/prism/working_33_plus_5_lm_compare_eval76_seed42/manifest.json,prism,0.1.0,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
38,1,76,1,prototype_equal_budget,2,923.87,2026-04-18T12:01:29.632077Z,working_33_plus_5_lm_compare_eval76,prototype_equal_budget,355f598b7304e9653013d2d5e2adde4996061fa3,956b83c8b6f6bc57,76,42,working_33_plus_5_lm_compare_eval76,working_33_plus_5_lm_compare_eval76_seed42,working_33_plus_5_lm_compare_eval76_seed42,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/runs/topograph/working_33_plus_5_lm_compare_eval76_seed42/manifest.json,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/runs/topograph/working_33_plus_5_lm_compare_eval76_seed42/results.json,topograph|working_33_plus_5_lm_compare_eval76_seed42|2026-04-18T12:01:29.632077Z|EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/runs/topograph/working_33_plus_5_lm_compare_eval76_seed42/manifest.json,topograph,0.1.0,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
38,1,76,1,prototype_equal_budget,2,,2026-04-18T12:01:31.279694Z,working_33_plus_5_lm_compare_eval76,prototype_equal_budget,355f598b7304e9653013d2d5e2adde4996061fa3,956b83c8b6f6bc57,76,42,working_33_plus_5_lm_compare_eval76,working_33_plus_5_lm_compare_eval76_seed42,working_33_plus_5_lm_compare_eval76_seed42,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/runs/stratograph/working_33_plus_5_lm_compare_eval76_seed42/manifest.json,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/runs/stratograph/working_33_plus_5_lm_compare_eval76_seed42/results.json,stratograph|working_33_plus_5_lm_compare_eval76_seed42|2026-04-18T12:01:31.279694Z|EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/runs/stratograph/working_33_plus_5_lm_compare_eval76_seed42/manifest.json,stratograph,,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
38,1,76,1,prototype_equal_budget,76,,2026-04-18T12:01:31.423397Z,working_33_plus_5_lm_compare_eval76,prototype_equal_budget,355f598b7304e9653013d2d5e2adde4996061fa3,956b83c8b6f6bc57,76,42,working_33_plus_5_lm_compare_eval76,working_33_plus_5_lm_compare_eval76_seed42,working_33_plus_5_lm_compare_eval76_seed42,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/runs/contenders/working_33_plus_5_lm_compare_eval76_seed42/manifest.json,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/runs/contenders/working_33_plus_5_lm_compare_eval76_seed42/results.json,contenders|working_33_plus_5_lm_compare_eval76_seed42|2026-04-18T12:01:31.423397Z|EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/runs/contenders/working_33_plus_5_lm_compare_eval76_seed42/manifest.json,contenders,0.1.0,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
38,1,304,1,prototype_equal_budget,8,,2026-04-18T12:34:45.367251Z,working_33_plus_5_lm_compare_eval304,prototype_equal_budget,355f598b7304e9653013d2d5e2adde4996061fa3,f89eede933eccf50,304,42,working_33_plus_5_lm_compare_eval304,working_33_plus_5_lm_compare_eval304_seed42,working_33_plus_5_lm_compare_eval304_seed42,42,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/runs/prism/working_33_plus_5_lm_compare_eval304_seed42/manifest.json,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/runs/prism/working_33_plus_5_lm_compare_eval304_seed42/results.json,prism|working_33_plus_5_lm_compare_eval304_seed42|2026-04-18T12:34:45.367251Z|EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/runs/prism/working_33_plus_5_lm_compare_eval304_seed42/manifest.json,prism,0.1.0,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
38,1,304,2,prototype_equal_budget,4,1361.76,2026-04-18T12:34:46.493808Z,working_33_plus_5_lm_compare_eval304,prototype_equal_budget,355f598b7304e9653013d2d5e2adde4996061fa3,f89eede933eccf50,304,42,working_33_plus_5_lm_compare_eval304,working_33_plus_5_lm_compare_eval304_seed42,working_33_plus_5_lm_compare_eval304_seed42,42,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/runs/topograph/working_33_plus_5_lm_compare_eval304_seed42/manifest.json,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/runs/topograph/working_33_plus_5_lm_compare_eval304_seed42/results.json,topograph|working_33_plus_5_lm_compare_eval304_seed42|2026-04-18T12:34:46.493808Z|EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/runs/topograph/working_33_plus_5_lm_compare_eval304_seed42/manifest.json,topograph,0.1.0,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
38,1,304,1,prototype_equal_budget,8,,2026-04-18T12:34:49.072296Z,working_33_plus_5_lm_compare_eval304,prototype_equal_budget,355f598b7304e9653013d2d5e2adde4996061fa3,f89eede933eccf50,304,42,working_33_plus_5_lm_compare_eval304,working_33_plus_5_lm_compare_eval304_seed42,working_33_plus_5_lm_compare_eval304_seed42,42,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/runs/stratograph/working_33_plus_5_lm_compare_eval304_seed42/manifest.json,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/runs/stratograph/working_33_plus_5_lm_compare_eval304_seed42/results.json,stratograph|working_33_plus_5_lm_compare_eval304_seed42|2026-04-18T12:34:49.072296Z|EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/runs/stratograph/working_33_plus_5_lm_compare_eval304_seed42/manifest.json,stratograph,,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
38,1,304,1,prototype_equal_budget,304,,2026-04-18T12:39:27.240078Z,working_33_plus_5_lm_compare_eval304,prototype_equal_budget,355f598b7304e9653013d2d5e2adde4996061fa3,f89eede933eccf50,304,42,working_33_plus_5_lm_compare_eval304,working_33_plus_5_lm_compare_eval304_seed42,working_33_plus_5_lm_compare_eval304_seed42,42,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/runs/contenders/working_33_plus_5_lm_compare_eval304_seed42/manifest.json,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/runs/contenders/working_33_plus_5_lm_compare_eval304_seed42/results.json,contenders|working_33_plus_5_lm_compare_eval304_seed42|2026-04-18T12:39:27.240078Z|EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/runs/contenders/working_33_plus_5_lm_compare_eval304_seed42/manifest.json,contenders,0.1.0,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
